id,gp,x,y,var,model
513,3,-71.9,-16.3,tasmin,REMO2015_MPI-M-MPI-ESM-LR
514,3,-75.7,9.1,tasmin,RegCM4_MPI-M-MPI-ESM-MR
515,3,-75.3,-12.5,tasmin,REMO2015_MPI-M-MPI-ESM-LR
516,3,-64.1,-1.3,tasmin,REMO2015_MPI-M-MPI-ESM-LR
517,3,-64.7,2.7,tasmin,REMO2015_MPI-M-MPI-ESM-LR
518,3,-58.1,4.5,tasmin,REMO2015_MPI-M-MPI-ESM-LR
519,3,-65.7,-7.1,tasmin,RegCM4_MPI-M-MPI-ESM-MR
520,3,-75.9,2.7,tasmin,REMO2015_MPI-M-MPI-ESM-LR
521,3,-60.1,-0.1,tasmin,REMO2015_MPI-M-MPI-ESM-LR
522,3,-39.9,-9.9,tasmin,REMO2015_MOHC-HadGEM2-ES
523,3,-58.3,0.5,tasmin,RegCM4_NCC-NorESM1-M
524,3,-58.7,0.7,tasmin,RegCM4_NCC-NorESM1-M
525,3,-65.7,3.1,tasmin,REMO2015_MPI-M-MPI-ESM-LR
526,3,-63.9,-4.1,tasmin,RegCM4_NCC-NorESM1-M
527,3,-77.5,-6.3,tasmin,RegCM4_MOHC-HadGEM2-ES
528,3,-60.5,-5.7,tasmin,REMO2015_MOHC-HadGEM2-ES
529,4,-72.5,-16.1,tasmin,REMO2015_NCC-NorESM1-M
530,4,-61.7,4.5,tasmin,REMO2015_NCC-NorESM1-M
531,4,-64.1,-7.1,tasmin,REMO2015_MOHC-HadGEM2-ES
532,4,-68.3,-10.5,tasmin,RegCM4_MPI-M-MPI-ESM-MR
533,4,-69.7,7.7,tasmin,REMO2015_MOHC-HadGEM2-ES
534,4,-69.1,-10.5,tasmin,REMO2015_MOHC-HadGEM2-ES
535,4,-70.1,-22.9,tasmin,REMO2015_MOHC-HadGEM2-ES
536,4,-61.1,6.7,tasmin,REMO2015_MPI-M-MPI-ESM-LR
537,4,-70.1,8.1,tasmin,REMO2015_MOHC-HadGEM2-ES
538,4,-69.5,7.7,tasmin,REMO2015_MPI-M-MPI-ESM-LR
539,4,-46.5,-9.3,tasmin,RegCM4_MOHC-HadGEM2-ES
540,4,-56.9,0.9,tasmin,REMO2015_MPI-M-MPI-ESM-LR
541,4,-74.9,-14.9,tasmin,REMO2015_NCC-NorESM1-M
542,4,-61.1,-7.7,tasmin,REMO2015_NCC-NorESM1-M
543,4,-42.5,-9.9,tasmin,REMO2015_MOHC-HadGEM2-ES
544,4,-75.3,5.1,tasmin,REMO2015_MPI-M-MPI-ESM-LR
545,5,-70.5,-17.3,tasmin,RegCM4_MPI-M-MPI-ESM-MR
546,5,-73.7,-15.5,tasmin,RegCM4_MPI-M-MPI-ESM-MR
547,5,-71.1,-13.1,tasmin,RegCM4_MPI-M-MPI-ESM-MR
548,5,-62.3,3.7,tasmin,REMO2015_MOHC-HadGEM2-ES
549,5,-58.3,1.5,tasmin,RegCM4_MOHC-HadGEM2-ES
550,5,-59.9,1.5,tasmin,RegCM4_MOHC-HadGEM2-ES
551,5,-70.5,-15.1,tasmin,RegCM4_MPI-M-MPI-ESM-MR
552,5,-57.7,3.1,tasmin,REMO2015_MPI-M-MPI-ESM-LR
553,5,-75.3,4.9,tasmin,RegCM4_MPI-M-MPI-ESM-MR
554,5,-69.3,-13.7,tasmin,RegCM4_NCC-NorESM1-M
555,5,-57.9,-3.5,tasmin,RegCM4_MOHC-HadGEM2-ES
556,5,-79.5,-2.1,tasmin,RegCM4_MPI-M-MPI-ESM-MR
557,5,-69.7,-15.1,tasmin,RegCM4_MPI-M-MPI-ESM-MR
558,5,-56.9,-0.1,tasmin,RegCM4_MOHC-HadGEM2-ES
559,5,-57.7,-3.7,tasmin,RegCM4_MOHC-HadGEM2-ES
560,5,-69.5,-14.9,tasmin,RegCM4_NCC-NorESM1-M
561,6,-69.5,-16.3,tasmin,RegCM4_NCC-NorESM1-M
562,6,-69.7,-15.9,tasmin,RegCM4_NCC-NorESM1-M
563,6,-69.9,-15.9,tasmin,RegCM4_MPI-M-MPI-ESM-MR
564,6,-66.9,-18.9,tasmin,RegCM4_NCC-NorESM1-M
565,6,-69.3,-16.1,tasmin,RegCM4_NCC-NorESM1-M
566,6,-69.9,-15.9,tasmin,RegCM4_NCC-NorESM1-M
567,6,-67.1,-18.9,tasmin,RegCM4_NCC-NorESM1-M
568,6,-68.9,-15.9,tasmin,RegCM4_MPI-M-MPI-ESM-MR
569,6,-69.5,-16.1,tasmin,RegCM4_MPI-M-MPI-ESM-MR
570,6,-66.9,-18.9,tasmin,RegCM4_MPI-M-MPI-ESM-MR
571,6,-69.5,-16.1,tasmin,RegCM4_NCC-NorESM1-M
572,6,-69.3,-15.7,tasmin,RegCM4_NCC-NorESM1-M
573,6,-69.9,-15.7,tasmin,RegCM4_MPI-M-MPI-ESM-MR
574,6,-69.5,-15.9,tasmin,RegCM4_NCC-NorESM1-M
575,6,-69.1,-16.1,tasmin,RegCM4_NCC-NorESM1-M
576,6,-69.5,-15.9,tasmin,RegCM4_MPI-M-MPI-ESM-MR
